iter	Passed	Remaining
411	2966	4233
412	2971	4224
413	2979	4217
414	2985	4208
415	2992	4200
416	2998	4191
417	3003	4182
418	3010	4175
419	3016	4165
420	3022	4156
421	3029	4149
422	3035	4140
423	3041	4132
424	3048	4124
425	3054	4115
426	3060	4107
427	3065	4097
428	3071	4088
429	3078	4081
430	3086	4074
431	3093	4066
432	3100	4059
433	3105	4049
434	3112	4042
435	3118	4033
436	3123	4024
437	3129	4016
438	3135	4006
439	3142	3999
440	3148	3991
441	3154	3981
442	3161	3974
443	3167	3966
444	3173	3957
445	3179	3949
446	3184	3940
447	3192	3933
448	3198	3925
449	3204	3916
450	3210	3908
451	3216	3899
452	3223	3892
453	3229	3884
454	3235	3875
455	3241	3867
456	3247	3858
457	3253	3850
458	3260	3842
459	3266	3834
460	3272	3825
461	3278	3817
462	3284	3809
463	3291	3802
464	3297	3793
465	3302	3784
466	3309	3776
467	3315	3768
468	3321	3760
469	3327	3752
470	3332	3743
471	3339	3736
472	3345	3727
473	3351	3718
474	3357	3711
475	3363	3702
476	3369	3693
477	3376	3686
478	3382	3678
479	3388	3670
480	3394	3662
481	3400	3654
482	3406	3646
483	3412	3637
484	3418	3629
485	3424	3622
486	3430	3613
487	3436	3605
488	3442	3597
489	3448	3589
490	3454	3581
491	3460	3573
492	3466	3565
493	3472	3557
494	3478	3549
495	3485	3541
496	3491	3534
497	3498	3526
498	3504	3518
499	3509	3509
500	3515	3501
501	3521	3493
502	3526	3484
503	3532	3476
504	3538	3468
505	3544	3460
506	3550	3452
507	3558	3446
508	3565	3439
509	3571	3431
510	3577	3423
511	3585	3417
512	3591	3409
513	3597	3401
514	3603	3393
515	3609	3385
516	3614	3377
517	3620	3369
518	3626	3361
519	3633	3353
520	3639	3346
521	3645	3337
522	3652	3330
523	3658	3323
524	3663	3314
525	3670	3307
526	3676	3299
527	3682	3292
528	3689	3285
529	3696	3277
530	3702	3270
531	3708	3262
532	3714	3254
533	3721	3247
534	3728	3240
535	3733	3232
536	3739	3224
537	3745	3216
538	3751	3208
539	3757	3200
540	3763	3192
541	3769	3185
542	3774	3176
543	3780	3169
544	3788	3162
545	3795	3156
546	3802	3148
547	3808	3141
548	3814	3133
549	3820	3125
550	3826	3117
551	3832	3110
552	3838	3102
553	3843	3094
554	3849	3086
555	3855	3078
556	3861	3071
557	3867	3063
558	3873	3055
559	3879	3048
560	3885	3040
561	3890	3032
562	3897	3025
563	3903	3017
564	3908	3009
565	3915	3001
566	3920	2994
567	3926	2986
568	3933	2979
569	3940	2972
570	3946	2965
571	3952	2957
572	3958	2949
573	3964	2942
574	3970	2934
575	3977	2928
576	3984	2920
577	3989	2912
578	3996	2906
579	4002	2898
580	4008	2890
581	4015	2883
582	4021	2876
583	4027	2869
584	4033	2861
585	4039	2853
586	4046	2846
587	4052	2839
588	4058	2831
589	4064	2824
590	4069	2816
591	4076	2809
592	4083	2802
593	4089	2795
594	4095	2787
595	4101	2780
596	4107	2772
597	4113	2765
598	4119	2757
599	4125	2750
600	4131	2742
601	4137	2735
602	4143	2727
603	4148	2720
604	4154	2712
605	4160	2705
606	4166	2697
607	4172	2690
608	4178	2682
609	4184	2675
610	4190	2667
611	4196	2660
612	4202	2652
613	4208	2645
614	4214	2638
615	4220	2630
616	4227	2624
617	4233	2616
618	4239	2609
619	4245	2602
620	4251	2594
621	4258	2587
622	4263	2580
623	4269	2572
624	4276	2565
625	4282	2558
626	4288	2551
627	4294	2544
628	4301	2536
629	4307	2530
630	4315	2523
631	4321	2516
632	4328	2509
633	4333	2501
634	4340	2494
635	4345	2487
636	4352	2480
637	4359	2473
638	4366	2466
639	4372	2459
640	4379	2452
641	4384	2445
642	4391	2438
643	4398	2431
644	4405	2424
645	4411	2417
646	4417	2410
647	4424	2403
648	4430	2396
649	4436	2388
